"Occupation ID","Occupation","Quarter ID","Quarter","Workforce","Monthly Wage","Time","type","type ID"
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20174,"2017-Q4",121256,5550.681195157353,1509516000000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20181,"2018-Q1",118464,7335.259116693679,1517464800000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20182,"2018-Q2",129665,5372.560328538927,1525150800000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20183,"2018-Q3",138597,5904.481446207349,1533099600000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20184,"2018-Q4",130925,5199.189810960474,1541052000000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20191,"2019-Q1",142325,5782.205375021957,1549000800000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20192,"2019-Q2",131577,6494.617091132949,1556686800000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20193,"2019-Q3",134882,6856.96405005857,1564635600000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20194,"2019-Q4",110434,6824.574741474546,1572588000000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20201,"2020-Q1",130156,9709.3318633025,1580536800000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20203,"2020-Q3",124135,5230.674588149998,1596258000000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20204,"2020-Q4",124882,5806.452074758572,1604210400000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20211,"2021-Q1",115975,8383.473869368398,1612159200000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20212,"2021-Q2",181315,8162.364283153628,1619845200000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20213,"2021-Q3",135317,7778.7496471249,1627794000000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20214,"2021-Q4",135141,9133.949474992785,1635746400000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20221,"2022-Q1",139753,5842.225140068549,1643695200000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20222,"2022-Q2",156610,6816.515548177,1651381200000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20223,"2022-Q3",141851,7667.777350882264,1659330000000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20224,"2022-Q4",140623,4964.452152208387,1667282400000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20231,"2023-Q1",149207,7360.739569859323,1675231200000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20232,"2023-Q2",147456,7257.625786675348,1682920800000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20233,"2023-Q3",152407,7026.6180687238775,1690869600000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2263,"Arquitectos, Planificadores Urbanos y del Transporte",20234,"2023-Q4",156584,7595.13165457518,1698818400000,"Arquitectos, Planificadores Urbanos y del Transporte",2263
2271,"Desarrolladores y Analistas de Software y Multimedia",20123,"2012-Q3",139744,5446.852351442638,1343797200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20124,"2012-Q4",143151,4887.377803857466,1351749600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20131,"2013-Q1",144523,10142.693737329006,1359698400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20132,"2013-Q2",162248,5452.043476653025,1367384400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20133,"2013-Q3",156837,5759.44849748465,1375333200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20134,"2013-Q4",174140,5744.0873435167105,1383285600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20141,"2014-Q1",162001,5160.104659847779,1391234400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20142,"2014-Q2",140610,6192.042080933077,1398920400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20143,"2014-Q3",157497,5527.9021695651345,1406869200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20144,"2014-Q4",168738,5286.038017518283,1414821600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20151,"2015-Q1",156376,7532.941301734281,1422770400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20152,"2015-Q2",166341,6518.597273071582,1430456400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20153,"2015-Q3",150968,6752.638499549574,1438405200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20154,"2015-Q4",169237,6607.357640468692,1446357600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20161,"2016-Q1",185083,7268.419622547722,1454306400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20162,"2016-Q2",182184,5645.131268388003,1462078800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20163,"2016-Q3",161868,6621.723935552425,1470027600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20164,"2016-Q4",171520,5977.629600046642,1477980000000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20171,"2017-Q1",177968,5826.8570473343525,1485928800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20172,"2017-Q2",196574,5169.9848301403035,1493614800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20173,"2017-Q3",196643,5925.0882157005335,1501563600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20174,"2017-Q4",205380,5178.12101470445,1509516000000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20181,"2018-Q1",203415,6144.479237027751,1517464800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20182,"2018-Q2",192136,6300.153105092227,1525150800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20183,"2018-Q3",202033,4730.762103220761,1533099600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20184,"2018-Q4",212913,4734.340871623621,1541052000000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20191,"2019-Q1",211751,5911.671562353897,1549000800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20192,"2019-Q2",227323,6810.800002639417,1556686800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20193,"2019-Q3",217099,7908.578662269288,1564635600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20194,"2019-Q4",218497,7655.419529787594,1572588000000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20201,"2020-Q1",230546,7728.028679742872,1580536800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20203,"2020-Q3",235027,7489.067336944266,1596258000000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20204,"2020-Q4",244173,7530.587501484603,1604210400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20211,"2021-Q1",263708,9811.232207593248,1612159200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20212,"2021-Q2",332366,9118.4237888352,1619845200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20213,"2021-Q3",320917,7941.703384364181,1627794000000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20214,"2021-Q4",323264,8120.611636309642,1635746400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20221,"2022-Q1",326049,8491.974006974411,1643695200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20222,"2022-Q2",329106,8030.397397798885,1651381200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20223,"2022-Q3",317884,8258.301377231946,1659330000000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20224,"2022-Q4",349706,6875.579343791642,1667282400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20231,"2023-Q1",362887,8273.100091764103,1675231200000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20232,"2023-Q2",361465,9429.96469644364,1682920800000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20233,"2023-Q3",387233,9052.017555321989,1690869600000,"Desarrolladores y Analistas de Software y Multimedia",2271
2271,"Desarrolladores y Analistas de Software y Multimedia",20234,"2023-Q4",421573,10176.926432670023,1698818400000,"Desarrolladores y Analistas de Software y Multimedia",2271
2272,"Administradores de Bases de Datos y Redes de Computadora",20123,"2012-Q3",23181,7790.030455976877,1343797200000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20124,"2012-Q4",13422,7268.872001192072,1351749600000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20131,"2013-Q1",31985,9590.694387994372,1359698400000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20132,"2013-Q2",16100,4456.898136645963,1367384400000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20133,"2013-Q3",24962,6332.516625270411,1375333200000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20134,"2013-Q4",16417,3615.045623439118,1383285600000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20141,"2014-Q1",22984,5346.203010790115,1391234400000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20142,"2014-Q2",14480,4491.236187845304,1398920400000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20143,"2014-Q3",21286,7561.979704970403,1406869200000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20144,"2014-Q4",23527,4591.181196072597,1414821600000,"Administradores de Bases de Datos y Redes de Computadora",2272
2272,"Administradores de Bases de Datos y Redes de Computadora",20151,"2015-Q1",23893,4653.0958858243,1422770400000,"Administradores de Bases de Datos y Redes de Computadora",2272
